,Suit1,Card1,Suit2,Card2,Suit3,Card3,Suit4,Card4,Suit5,Card5
0,Spades,Jack,Spades,King,Spades,Ten,Spades,Queen,Spades,Ace
1,Diamonds,Queen,Diamonds,Jack,Diamonds,King,Diamonds,Ten,Diamonds,Ace
2,Clubs,Ten,Clubs,Jack,Clubs,Ace,Clubs,King,Clubs,Queen
3,Clubs,Ace,Clubs,King,Clubs,Queen,Clubs,Jack,Clubs,Ten
4,Hearts,Two,Hearts,Four,Hearts,Five,Hearts,Three,Hearts,Six
5,Hearts,Nine,Hearts,Queen,Hearts,Ten,Hearts,Jack,Hearts,King
6,Spades,Ace,Spades,Two,Spades,Three,Spades,Four,Spades,Five
7,Diamonds,Five,Diamonds,Six,Diamonds,Nine,Diamonds,Seven,Diamonds,Eight
8,Clubs,Ace,Clubs,Four,Clubs,Two,Clubs,Three,Clubs,Five
9,Hearts,Ace,Spades,Ace,Diamonds,Nine,Hearts,Five,Spades,Three
10,Spades,Six,Spades,Ace,Clubs,King,Spades,Four,Clubs,Nine
11,Hearts,Ten,Clubs,Six,Hearts,Two,Hearts,Ace,Diamonds,Eight
12,Spades,King,Spades,Ace,Clubs,Four,Hearts,Five,Spades,Jack
13,Diamonds,Eight,Clubs,Queen,Diamonds,Nine,Clubs,Two,Diamonds,Two
14,Hearts,Three,Clubs,Seven,Hearts,Five,Spades,Four,Clubs,King
15,Hearts,Four,Hearts,Ace,Hearts,Three,Diamonds,Five,Diamonds,Two
16,Diamonds,Eight,Diamonds,Queen,Spades,Seven,Spades,Six,Hearts,Two
17,Clubs,Eight,Hearts,Jack,Clubs,Six,Diamonds,Two,Clubs,Queen
18,Diamonds,Seven,Spades,Seven,Clubs,Jack,Hearts,Queen,Diamonds,Ace
19,Hearts,King,Clubs,Eight,Spades,Seven,Spades,Ten,Diamonds,King
20,Spades,Six,Spades,Eight,Hearts,Jack,Hearts,Four,Diamonds,Seven
21,Diamonds,Ten,Spades,Ten,Clubs,Five,Hearts,Two,Diamonds,Eight
22,Spades,Ace,Diamonds,King,Clubs,Six,Hearts,Nine,Clubs,Ace
23,Spades,Ten,Spades,Eight,Hearts,Eight,Diamonds,Two,Spades,King
24,Spades,King,Hearts,Five,Clubs,Five,Clubs,Eight,Diamonds,Three
25,Diamonds,Ace,Hearts,Five,Spades,Seven,Diamonds,King,Hearts,Ace
26,Hearts,Seven,Hearts,Five,Clubs,Eight,Hearts,Six,Spades,Six
27,Diamonds,Seven,Diamonds,Nine,Spades,Queen,Spades,Five,Clubs,Four
28,Spades,Ten,Hearts,Ace,Hearts,Queen,Clubs,Six,Spades,Eight
29,Diamonds,King,Spades,Seven,Clubs,Jack,Diamonds,Jack,Spades,Jack
30,Clubs,Two,Spades,Seven,Diamonds,King,Spades,Jack,Diamonds,Ten
31,Hearts,Jack,Spades,Seven,Hearts,Six,Clubs,Two,Hearts,Ace
32,Diamonds,Four,Clubs,Three,Diamonds,Five,Spades,Queen,Hearts,Nine
33,Diamonds,Two,Hearts,Six,Spades,Jack,Clubs,Three,Spades,Ten
34,Clubs,Eight,Clubs,Three,Clubs,King,Clubs,Queen,Hearts,Ace
35,Spades,Six,Clubs,Eight,Clubs,Three,Spades,Two,Hearts,Two
36,Clubs,King,Hearts,Six,Diamonds,Eight,Hearts,Three,Spades,Three
37,Spades,Nine,Spades,Ten,Clubs,Jack,Clubs,Seven,Clubs,Three
38,Spades,Ten,Diamonds,Queen,Hearts,Two,Spades,Two,Spades,King
39,Spades,Five,Spades,Queen,Spades,Three,Hearts,Two,Diamonds,Three
40,Spades,Eight,Diamonds,Two,Spades,Five,Hearts,Queen,Clubs,Eight
41,Spades,Ace,Clubs,Seven,Clubs,Six,Clubs,Five,Hearts,Five
42,Diamonds,King,Spades,Ace,Diamonds,Seven,Hearts,Three,Spades,Six
43,Clubs,Ten,Clubs,King,Diamonds,Five,Spades,Eight,Hearts,Ten
44,Hearts,Two,Hearts,Jack,Diamonds,Nine,Hearts,Seven,Diamonds,Five
45,Spades,Two,Diamonds,Ace,Spades,Jack,Spades,Six,Clubs,Four
46,Hearts,Ten,Clubs,Ace,Clubs,Four,Clubs,Queen,Hearts,Nine
47,Clubs,Nine,Diamonds,King,Spades,Ace,Diamonds,Nine,Clubs,Queen
48,Clubs,Ace,Diamonds,Ace,Hearts,Three,Clubs,Four,Spades,Jack
49,Hearts,Five,Clubs,Four,Spades,King,Diamonds,Seven,Clubs,Ten
50,Hearts,Ten,Diamonds,Seven,Hearts,Three,Diamonds,Six,Diamonds,Eight
51,Clubs,Two,Diamonds,Four,Clubs,Seven,Diamonds,Nine,Spades,Ace
52,Clubs,Eight,Hearts,Nine,Spades,Four,Hearts,Jack,Spades,Three
53,Spades,Seven,Clubs,King,Spades,Three,Diamonds,Four,Spades,Ace
54,Clubs,Queen,Spades,Three,Clubs,Seven,Spades,Five,Clubs,Ace
55,Spades,Five,Diamonds,King,Diamonds,Queen,Diamonds,Seven,Hearts,King
56,Clubs,Eight,Diamonds,Two,Spades,Eight,Spades,Nine,Diamonds,Jack
57,Hearts,Eight,Hearts,Queen,Spades,Nine,Spades,Six,Diamonds,Two
58,Hearts,Five,Diamonds,King,Spades,King,Spades,Seven,Clubs,Five
59,Clubs,Seven,Clubs,Ten,Diamonds,Ace,Diamonds,Three,Spades,Five
60,Diamonds,King,Spades,Two,Clubs,Ten,Diamonds,Three,Spades,King
61,Hearts,Five,Diamonds,Seven,Hearts,Three,Hearts,Six,Spades,Eight
62,Hearts,Two,Clubs,Three,Spades,Eight,Clubs,Jack,Clubs,King
63,Spades,Ace,Hearts,Four,Clubs,Ace,Clubs,Jack,Diamonds,Seven
64,Hearts,Four,Clubs,Ace,Clubs,Queen,Spades,Three,Clubs,King
65,Hearts,Nine,Clubs,Ace,Clubs,Seven,Clubs,Four,Diamonds,Two
66,Clubs,Three,Diamonds,Ace,Hearts,Six,Hearts,Five,Spades,Ten
67,Spades,Nine,Clubs,Two,Diamonds,Three,Spades,Six,Diamonds,Nine
68,Diamonds,Ace,Hearts,Five,Clubs,Eight,Diamonds,Ten,Diamonds,Five
69,Clubs,Seven,Clubs,Five,Spades,Nine,Diamonds,Eight,Hearts,Five
70,Clubs,King,Hearts,Jack,Clubs,Four,Diamonds,Five,Clubs,Ace
71,Clubs,King,Diamonds,Eight,Hearts,Ace,Clubs,Six,Hearts,King
72,Clubs,Eight,Clubs,Four,Clubs,Two,Clubs,Ace,Clubs,Seven
73,Spades,Three,Clubs,Ten,Diamonds,Five,Diamonds,King,Clubs,Three
74,Hearts,Four,Spades,King,Diamonds,Ace,Clubs,Four,Clubs,Ace
75,Diamonds,Two,Clubs,Ten,Spades,Six,Hearts,Queen,Diamonds,Ten
76,Spades,Jack,Diamonds,Nine,Hearts,Jack,Clubs,Eight,Diamonds,Eight
77,Spades,Four,Hearts,Four,Spades,Five,Hearts,Eight,Hearts,King
78,Spades,King,Hearts,Nine,Hearts,Two,Hearts,Four,Clubs,Four
79,Clubs,Two,Diamonds,Ten,Hearts,Queen,Diamonds,Seven,Clubs,Eight
80,Spades,Six,Hearts,King,Clubs,Five,Spades,Two,Clubs,Nine
81,Hearts,Queen,Clubs,Five,Clubs,King,Diamonds,Jack,Diamonds,Ten
82,Spades,Seven,Spades,Three,Diamonds,King,Diamonds,Jack,Hearts,Four
