,Poker Hand
0,9
1,9
2,9
3,9
4,8
5,8
6,8
7,8
8,8
9,1
10,0
11,0
12,0
13,1
14,0
15,4
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,3
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,0
58,2
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,5
73,1
74,2
75,1
76,2
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,1
93,0
94,1
95,2
96,3
97,1
98,1
99,0
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,3
108,0
109,1
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,2
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,0
181,1
182,0
183,0
184,0
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,2
246,1
247,2
248,0
249,0
250,2
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,2
288,0
289,0
290,0
