,Suit1,Card1,Suit2,Card2,Suit3,Card3,Suit4,Card4,Suit5,Card5
704997,1,3,4,13,2,11,1,9,2,8
620781,2,4,2,8,1,7,1,6,4,11
139555,3,1,3,6,4,1,1,3,2,13
449451,4,13,2,8,3,12,2,11,3,10
349591,4,9,4,4,2,11,3,4,4,10
795650,2,11,4,6,2,9,3,12,4,13
140383,2,5,3,9,3,5,2,13,4,10
43539,4,4,3,10,3,12,2,7,2,8
272275,2,7,4,8,3,5,2,4,2,6
926523,1,2,1,3,2,8,1,7,1,8
378673,1,7,4,8,1,13,3,9,3,7
634104,2,7,1,13,1,6,3,1,3,9
732811,1,2,1,10,2,7,1,6,2,3
565668,2,12,3,9,1,1,2,4,3,4
585850,3,3,2,12,4,8,2,5,1,9
405753,2,12,2,1,2,13,1,11,1,12
235641,2,1,2,3,3,7,3,3,1,9
505913,1,4,2,9,3,11,3,6,4,9
891392,1,4,1,7,3,10,2,1,1,12
872299,1,2,2,6,1,1,4,3,4,2
528124,3,4,4,8,1,9,3,12,4,10
456155,3,1,3,11,3,5,2,5,3,7
726301,3,8,3,11,4,2,1,5,2,4
625278,1,6,3,6,4,6,4,8,2,2
419090,1,4,1,8,4,6,4,4,1,10
411864,1,9,4,9,1,3,3,5,2,2
779993,2,12,2,4,4,6,3,1,4,13
662325,3,12,4,1,3,5,4,7,1,1
706341,4,6,1,10,2,5,4,13,2,12
845642,4,8,2,13,1,13,3,1,2,8
350115,2,9,3,11,4,10,1,2,1,3
143057,2,4,1,1,2,5,1,6,2,3
862401,2,12,2,8,3,10,1,11,1,3
513364,2,7,1,3,2,8,1,9,4,4
445492,1,10,4,13,2,10,3,1,4,3
640079,2,9,4,13,1,1,3,4,4,12
47933,3,6,3,10,3,5,3,7,4,12
850428,3,3,1,2,2,2,4,6,2,8
540924,3,11,1,1,4,2,2,8,2,11
290552,3,1,3,11,2,10,3,2,4,9
841869,3,2,2,9,3,3,4,2,1,2
937677,3,4,4,2,1,4,3,5,4,1
155583,2,11,2,7,2,9,4,7,3,8
349588,4,4,2,9,4,11,4,5,3,12
977275,3,2,4,13,3,8,4,5,1,7
946885,4,10,3,6,4,4,1,9,1,8
385733,2,2,4,8,1,10,4,12,4,6
225222,3,6,2,10,1,8,2,3,4,5
511745,1,8,3,6,4,4,1,1,4,6
985052,2,8,3,6,3,9,2,3,3,11
484350,2,9,3,12,3,13,1,7,4,7
69477,3,1,1,6,4,12,2,10,2,6
849943,1,4,3,8,3,5,4,10,3,4
441672,2,7,3,13,1,1,1,13,3,11
267709,3,2,1,6,4,12,4,5,3,10
836734,4,1,1,9,1,6,1,2,3,6
998597,3,4,4,5,3,1,4,11,2,9
176913,2,9,4,12,4,5,1,4,4,6
860579,1,10,2,12,1,13,4,5,4,3
893108,3,5,1,1,1,10,3,10,2,11
552920,2,7,4,13,1,8,3,4,3,8
22673,3,4,3,5,3,2,4,1,3,11
372650,1,5,4,2,2,1,3,11,4,13
345950,1,3,2,4,4,13,3,9,3,10
54982,4,6,2,11,2,1,1,4,2,13
307534,4,7,3,12,1,4,4,9,4,3
313059,1,9,1,5,3,3,4,13,2,9
156565,2,12,4,3,2,7,2,4,3,6
121619,2,12,2,5,4,7,2,8,1,10
345866,1,5,1,12,2,10,2,1,3,4
355728,1,8,4,9,2,2,2,6,1,1
603031,3,3,3,5,2,1,1,7,2,7
175661,2,11,3,10,2,7,1,8,3,9
740939,2,7,2,13,3,3,4,7,4,6
527476,1,3,1,12,4,4,3,10,4,6
264495,3,1,2,12,2,10,4,12,2,1
669164,1,3,4,10,1,10,1,6,3,11
588056,3,9,1,10,2,2,4,5,1,5
900750,4,6,1,6,1,9,3,1,2,4
317240,3,1,3,7,4,7,4,3,4,6
969447,4,11,4,2,3,7,4,1,3,1
348979,3,10,2,8,3,5,3,6,2,13
962285,4,12,2,12,2,13,4,13,4,6
846888,2,9,1,12,2,8,3,11,2,7
16194,1,12,3,9,1,13,4,2,4,6
787487,2,5,4,2,4,12,1,4,2,8
533745,4,12,3,9,1,2,4,5,2,4
459359,1,3,3,13,4,6,1,13,3,8
641672,4,6,3,9,2,13,2,3,1,4
674899,2,5,3,13,4,6,3,8,1,4
185751,2,2,1,1,3,10,3,11,4,3
19586,2,2,2,7,3,12,1,11,2,12
187544,1,11,4,11,4,1,1,2,3,1
830484,2,6,2,3,3,7,3,13,2,11
270101,4,12,1,5,1,1,1,11,2,8
277754,2,12,2,3,2,6,4,10,3,8
49288,4,4,1,2,4,9,1,6,3,7
434625,1,13,2,7,4,6,3,2,2,4
686282,2,10,4,4,2,5,4,12,2,13
787749,2,9,1,2,2,11,1,9,3,10
984179,1,9,2,6,2,10,2,1,2,8
283759,3,7,1,6,4,6,2,10,4,2
360112,2,10,4,10,3,11,2,11,3,5
421706,1,2,1,4,1,6,1,1,3,13
499102,3,9,4,7,1,11,2,12,4,3
883160,3,4,1,6,2,8,1,10,3,1
164303,2,2,1,1,2,7,2,11,1,13
276748,2,10,4,7,3,13,3,5,4,2
699321,3,5,4,11,1,10,4,8,4,7
330300,4,10,1,8,2,13,4,12,3,7
265924,4,5,1,3,1,9,3,9,1,2
620687,2,12,3,1,4,13,3,7,2,9
866821,3,10,4,2,2,10,3,8,3,2
719287,4,8,1,13,3,8,3,13,4,1
825940,2,2,3,9,1,11,4,4,4,6
940000,1,4,1,12,4,12,3,3,3,5
129549,1,7,2,10,1,6,3,9,2,11
589399,3,13,1,6,2,5,2,3,1,9
668461,4,2,1,13,2,11,3,1,3,4
768138,3,4,2,5,4,12,2,10,3,9
569447,4,1,4,9,1,5,3,3,2,13
680695,4,5,3,11,2,4,1,2,1,10
755247,3,7,1,7,2,11,1,8,2,7
343808,1,10,4,10,1,3,3,8,1,11
687544,4,12,4,2,1,5,3,7,4,11
39148,1,7,4,3,2,7,4,11,2,8
24008,2,7,4,3,1,12,1,11,3,11
67666,4,1,2,1,2,4,1,7,2,12
995460,3,8,4,10,3,4,2,6,2,13
761470,4,8,3,2,2,6,4,2,3,10
798167,3,13,4,11,3,5,3,3,4,8
72266,2,12,1,3,4,5,2,4,4,12
853759,4,11,1,9,4,5,2,6,4,10
775586,2,1,1,5,1,6,3,13,2,4
54575,2,8,4,3,2,4,4,9,1,3
916428,2,9,3,6,3,11,2,5,2,3
15640,2,1,2,6,1,4,3,9,4,9
794886,3,9,4,13,4,5,2,2,4,10
200448,4,10,3,9,4,3,4,13,4,1
73877,4,3,4,4,1,10,4,13,3,4
730987,2,10,4,10,2,3,3,8,1,12
461625,1,6,4,9,3,3,3,9,4,7
842687,3,7,1,4,1,5,3,11,3,10
421165,3,8,2,1,1,7,3,5,4,1
570342,1,3,3,13,1,1,3,8,2,8
906146,2,3,3,3,3,2,2,9,3,11
288215,2,10,1,1,2,6,2,9,4,4
711834,4,9,1,2,4,10,1,3,2,4
430505,3,6,2,12,1,6,3,9,2,11
889666,2,10,2,3,4,1,4,2,2,12
411323,4,1,3,11,2,12,2,1,1,7
135421,2,6,1,7,2,8,3,12,3,6
745816,4,1,2,10,1,6,1,11,2,6
481771,3,5,4,7,3,9,3,11,2,8
374485,3,5,4,4,1,2,4,2,2,3
932370,1,1,4,1,2,9,2,10,1,8
234219,4,8,1,12,1,6,2,3,3,2
503089,4,2,3,10,2,11,4,7,2,2
567921,2,9,1,13,3,10,4,13,3,2
648273,1,3,2,4,4,12,1,4,1,12
425158,4,4,1,12,3,1,2,5,2,13
253271,3,8,4,11,4,2,4,5,4,7
938079,3,11,4,5,1,4,2,9,3,10
765265,4,9,3,1,1,9,2,10,3,8
510661,4,9,2,2,2,7,1,8,1,3
305671,1,9,3,13,2,2,2,9,4,13
114760,4,3,2,10,1,11,3,11,3,4
709315,3,4,2,9,3,12,1,4,2,3
313470,2,7,3,7,2,2,1,3,4,13
139372,1,3,1,7,2,5,2,1,2,7
122328,4,12,2,9,4,10,3,5,2,13
314034,4,4,4,3,3,13,1,13,4,11
890693,3,12,4,7,3,8,3,1,4,10
187416,3,13,1,7,4,8,1,11,2,1
861808,4,9,4,8,3,12,1,9,2,9
752507,4,4,3,1,2,13,2,2,1,5
638478,1,8,2,1,3,3,4,13,4,9
707978,2,4,3,1,4,6,3,5,4,10
102381,4,13,1,12,1,7,2,11,2,4
203880,3,12,1,8,4,9,4,11,3,10
476571,2,11,3,5,2,12,2,5,1,3
103021,3,1,1,9,1,4,2,10,4,2
383705,4,3,3,7,3,3,2,10,1,8
687136,4,11,3,2,3,7,1,13,1,3
